A1,A2,A3,A4,Activity
0.173,0.11,0.582,0.135,102.38779944458008
0.133,0.125,0.65,0.092,76.83522371520996
0.115,0.165,0.607,0.113,68.78400974845886
0.133,0.14,0.648,0.078,74.17076904220582
0.07,0.097,0.51,0.323,89.75408977050782
0.092,0.052,0.507,0.35,102.86700686645507
0.104,0.102,0.499,0.295,100.58340495910645
0.078,0.012,0.613,0.297,85.9514349761963
0.052,0.038,0.631,0.279,69.63132948150636
0.082,0.028,0.63,0.26,81.44661547698975
0.067,0.04,0.557,0.336,89.42917881164551
0.112,0.065,0.503,0.32,105.90054296264648
0.18,0.05,0.414,0.356,118.52635733032227
0.184,0.035,0.492,0.289,114.54311513061523
0.172,0.025,0.447,0.357,116.48740427856445
0.163,0.067,0.4,0.37,119.00197072753906
0.155,0.062,0.391,0.392,119.17875105590821
0.22,0.025,0.417,0.338,118.36174172973634
0.178,0.028,0.433,0.361,117.2739200012207
0.185,0.065,0.413,0.337,118.89911318969727
0.152,0.067,0.443,0.338,116.04598884277344
0.123,0.073,0.407,0.397,116.81968825073243
0.135,0.098,0.379,0.388,119.11815397338867
0.133,0.077,0.323,0.467,121.97665307006837
0.154,0.098,0.319,0.429,122.8410686340332
0.252,0.05,0.233,0.465,124.90748903808594
0.27,0.058,0.258,0.414,124.32969273071289
0.18,0.08,0.245,0.495,125.36506289672852
0.194,0.167,0.239,0.401,127.47460628662108
0.088,0.129,0.265,0.518,123.25148893432618
0.118,0.122,0.305,0.455,122.50716393432617
0.102,0.138,0.328,0.432,119.58668497314454
0.115,0.08,0.29,0.514,122.98442094116211
0.142,0.093,0.293,0.472,123.6139592956543
0.127,0.097,0.263,0.513,124.59281834106446
0.148,0.098,0.21,0.543,126.67645965576173
0.145,0.12,0.17,0.565,128.47904385375978
0.157,0.12,0.14,0.583,129.51733455810546
0.163,0.103,0.112,0.622,130.02469725341797
0.161,0.077,0.175,0.587,127.44974499511719
0.228,0.22,0.048,0.504,134.50659934082032
0.27,0.193,0.038,0.498,134.30786040649414
0.197,0.178,0.08,0.545,132.7014379333496
0.222,0.19,0.062,0.527,133.6374893310547
0.203,0.205,0.095,0.497,132.690727545166
0.145,0.243,0.113,0.498,130.4455157409668
0.136,0.196,0.08,0.587,132.11248994750977
0.15,0.167,0.07,0.613,132.51592274780273
0.24,0.123,0.01,0.627,133.5302479980469
0.174,0.107,0.052,0.668,132.0334642883301
0.172,0.14,0.005,0.683,134.1399519592285
0.197,0.082,0.04,0.681,131.65110770874026
0.218,0.062,0.033,0.687,131.27110762939452
0.145,0.072,0.092,0.692,129.94679544677734
0.178,0.06,0.075,0.687,130.05517667236327
0.16,0.102,0.067,0.672,131.45079096069338
0.207,0.008,0.12,0.665,127.23172778930665
0.225,0.015,0.077,0.683,128.64861547851564
0.244,0.003,0.072,0.681,128.39853659057619
0.167,0.002,0.152,0.68,126.28218295288087
0.065,0.073,0.1,0.762,129.28031559448243
0.075,0.013,0.11,0.802,127.75682822875977
0.038,0.033,0.128,0.8,127.29038174438477
0.035,0.005,0.208,0.752,123.93211801147461
0.03,0.078,0.103,0.788,128.7194357849121
0.025,0.015,0.165,0.795,125.5824617614746
0.058,0.06,0.085,0.797,129.49160861816407
0.12,0.005,0.103,0.772,127.82108389282227
0.092,0.104,0.007,0.798,133.13610536499024
0.131,0.058,0.013,0.797,131.84258441772462
0.264,0.092,0.127,0.518,129.25359258422853
0.243,0.105,0.177,0.475,128.09109088745117
0.287,0.093,0.127,0.493,129.128088873291
0.28,0.08,0.155,0.485,127.96700350952149
