A1,A2,A3,A4,Activity
1.000,0.000,0.000,0.000,80
0.000,1.000,0.000,0.000,113.3
0.000,0.000,1.000,0.000,54.7
0.000,0.000,0.000,1.000,84.7
0.307,0.238,0.340,0.115,115.4
0.385,0.118,0.347,0.150,122.4
0.240,0.260,0.286,0.215,91.3
0.013,0.389,0.311,0.286,34.8
0.620,0.238,0.088,0.053,86.7
0.403,0.088,0.337,0.172,118.3
0.190,0.102,0.462,0.247,125
0.364,0.269,0.122,0.245,143.8
0.113,0.369,0.308,0.210,43.5
0.327,0.195,0.153,0.325,106.8
0.067,0.345,0.437,0.152,31.5
0.185,0.477,0.190,0.148,64.5
0.185,0.308,0.182,0.325,83.1
0.270,0.270,0.279,0.180,94.6
0.393,0.167,0.313,0.127,125.2
0.557,0.162,0.213,0.068,134.5
0.472,0.365,0.093,0.070,75.6
0.259,0.162,0.369,0.210,89
0.113,0.392,0.190,0.305,51
0.277,0.124,0.491,0.109,80.8
0.317,0.149,0.205,0.329,101.6
0.260,0.463,0.038,0.238,89.1
0.240,0.202,0.320,0.238,110.9
0.392,0.208,0.228,0.172,139.8
0.181,0.481,0.017,0.321,65.6
0.181,0.434,0.338,0.047,68.4
0.393,0.507,0.005,0.095,78.5
0.437,0.205,0.083,0.274,91.8
0.117,0.585,0.262,0.037,41.3
0.260,0.260,0.178,0.302,96.8
0.090,0.597,0.038,0.275,88.5
0.191,0.275,0.323,0.211,117.9
0.319,0.233,0.131,0.316,99
0.461,0.132,0.135,0.272,108.2
0.342,0.283,0.330,0.045,81.3
0.025,0.527,0.207,0.242,31.1
0.568,0.198,0.178,0.055,96.4
0.488,0.202,0.193,0.117,100.6
0.210,0.410,0.100,0.280,97.6
0.527,0.038,0.396,0.038,156.2
0.197,0.388,0.338,0.077,70.5
0.265,0.282,0.318,0.135,89.8
0.269,0.332,0.068,0.331,87.5
0.208,0.140,0.526,0.126,68.1
0.299,0.307,0.392,0.002,69.5
0.303,0.310,0.323,0.063,99.8
0.260,0.331,0.239,0.170,84.5
0.549,0.245,0.117,0.088,123.9
0.145,0.338,0.195,0.322,52.4
0.132,0.242,0.318,0.308,67
0.288,0.015,0.440,0.257,99
0.194,0.250,0.294,0.262,68.9
0.147,0.472,0.112,0.270,46.1
0.387,0.250,0.144,0.219,93.5
0.497,0.168,0.282,0.053,128.1
0.147,0.187,0.620,0.047,112.1
0.327,0.263,0.155,0.255,103
0.127,0.338,0.463,0.072,54.7
0.238,0.125,0.332,0.305,96
0.223,0.222,0.262,0.293,82.9
0.242,0.257,0.187,0.315,70.2
